,Name,City,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
800,Amana AlFakhera Furnished Units 2, Jeddah,SAR 100,0,Only 1 left like this on our site,485528,6.5, 74 reviews ,Studio,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", includes taxes and charges , Review score ,Reservation possible without a credit card,null,39.1399258375168,21.6421810360982,https://www.booking.com/hotel/sa/al-amana-al-fakhera-apartment-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=48552801_190296284_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=801&highlighted_blocks=48552801_190296284_0_0_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=48552801_190296284_0_0_0__10000&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
801,Fakher Yanbu Hotel, Yanbu,SAR 100,0,Only 4 like this left on our site,721174,7, 926 reviews ,Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 8 taxes and charges  , Good ,Reservation possible without a credit card,null,38.1059208512306,24.0707747826778,https://www.booking.com/hotel/sa/fakher-yanbu-apartment.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=72117406_238107409_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=802&highlighted_blocks=72117406_238107409_0_0_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=72117406_238107409_0_0_0__10000&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
802,منازل السلطان- Manazel Alsultan," Al Aziziyah, Makkah",SAR 100,0,null,6323965,,null,Three-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 9,"9 beds
(9 singles)", includes taxes and charges ,null,Reservation possible without a credit card,null,39.862084915875,21.422134992163,https://www.booking.com/hotel/sa/mnzl-lsltn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=632396501_246731854_9_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=803&highlighted_blocks=632396501_246731854_9_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=632396501_246731854_9_0_0__10000&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
803,الفنار العالمى 3 مدخل الهيئة الملكية, Yanbu,SAR 100,0,Only 3 like this left on our site,434762,6.3, 60 reviews ,Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 8 taxes and charges  , Review score ,Reservation possible without a credit card,null,38.1442577361817,24.0571544508855,https://www.booking.com/hotel/sa/al-fanar-national-guard-apartments-yanbu6.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=43476204_197027923_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=804&highlighted_blocks=43476204_197027923_0_0_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=43476204_197027923_0_0_0__10000&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
804,Al Afaq Alraqi Furnished Apartments (Families only), Abha,SAR 100,0,Only 1 left like this on our site,2556108,6.5, 30 reviews ,One-Bedroom Apartment,null,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 5 taxes and charges  , Review score ,Reservation possible without a credit card,null,42.507601,18.211179,https://www.booking.com/hotel/sa/al-afaq-alraqi-furnished-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=255610804_231773377_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=805&highlighted_blocks=255610804_231773377_2_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=255610804_231773377_2_0_0__10000&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
805,Doolv Hotel, Riyadh,SAR 100,0,Only 2 rooms like this left on our site,1455790,6.6, 67 reviews ,Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 5 taxes and charges  , Review score ,Reservation possible without a credit card,null,46.6252201795578,24.8021080903354,https://www.booking.com/hotel/sa/doolv.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=145579001_200435982_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=806&highlighted_blocks=145579001_200435982_2_0_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=145579001_200435982_2_0_0__10000&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
806,OYO 365 Oyoon Jeddah Residential Units, Jeddah,SAR 100,0,null,4980124,7.3, 57 reviews ,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 8 taxes and charges  , Good ,Reservation possible without a credit card,null,39.181751519249,21.5976825890135,https://www.booking.com/hotel/sa/ywn-jd-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=498012409_176232054_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=807&highlighted_blocks=498012409_176232054_2_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=498012409_176232054_2_0_0__10041&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
807,Holiday Plus Alnuzha, Jeddah,SAR 101,0,Only 3 rooms like this left on our site,3922213,8.4, 625 reviews ,Deluxe Double Room,null,null,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 8 taxes and charges  , Very good ,Reservation possible without a credit card,null,39.1615031333723,21.6236714030919,https://www.booking.com/hotel/sa/grand-plaza-alnuzha.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=392221306_254801084_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=808&highlighted_blocks=392221306_254801084_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=392221306_254801084_2_0_0__10125&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=;has_campaign_deals_breakaway20_customer_label=1#hotelTmpl
808,OYO 443 Safari Al Khaleej, Dammam,SAR 102,0,null,6384855,,null,Standard Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 8 taxes and charges  ,null,Reservation possible without a credit card,null,50.12119,26.431059,https://www.booking.com/hotel/sa/oyo-443-safari-al-khaleej.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=638485503_253245134_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=809&highlighted_blocks=638485503_253245134_2_0_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=638485503_253245134_2_0_0__10199&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
809,OYO 232 Fawasel Tabuk 2 Hotel Apartment, Tabuk,SAR 102,0,null,1251548,7.3, 315 reviews ,Standard Studio Twin,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 8 taxes and charges  , Good ,Reservation possible without a credit card,null,36.5879702716584,28.3872397060787,https://www.booking.com/hotel/sa/fawasel-tabuk-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=125154809_176961415_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=810&highlighted_blocks=125154809_176961415_2_0_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=125154809_176961415_2_0_0__10200&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
