,Name,City,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
85,تولاي بارك TULAY PARK," Al Olayya, Al Khobar",SAR 90,4,Only 3 rooms like this left on our site,5304975,7.8, 189 reviews ,King Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 2 taxes and charges  , Good ,Reservation possible without a credit card,null,50.1767561851196,26.2985043184142,https://www.booking.com/hotel/sa/twly-brk-tulay-park.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=530497501_187688047_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=86&highlighted_blocks=530497501_187688047_0_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=530497501_187688047_0_0_0__9000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
86,Samaya Royal Afif, ‘Afīf,SAR 110,4,Only 3 like this left on our site,2830387,8.5, 164 reviews ,Superior Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(1 extra-large double, 1 sofa bed)", +SAR 6 taxes and charges  , Very good ,Reservation possible without a credit card,Breakfast included,42.8988065999999,23.8837809,https://www.booking.com/hotel/sa/smy-fyf.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=283038701_228473233_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=87&highlighted_blocks=283038701_228473233_2_1_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=283038701_228473233_2_1_0__11000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
87,منازل جدة 2," Al Salamah, Jeddah",SAR 114,4,Only 1 left like this on our site,1869521,7.7, 166 reviews ,Studio Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 9 taxes and charges  , Good ,Reservation possible without a credit card,null,39.1567163166474,21.5905331948642,https://www.booking.com/hotel/sa/manazil-jeddah-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=186952104_219251297_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=88&highlighted_blocks=186952104_219251297_2_0_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=186952104_219251297_2_0_0__11358&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
88,shams alshate شمس الشاطئ ابوبكر 2, Buraydah,SAR 120,4,Only 3 rooms like this left on our site,6279829,5.4, 5 reviews ,Budget Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", includes taxes and charges , Review score ,Reservation possible without a credit card,null,43.9348626134033,26.4057934264006,https://www.booking.com/hotel/sa/shams-alshate-shms-lshty-bwbkr-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=627982901_244664533_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=89&highlighted_blocks=627982901_244664533_2_0_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=627982901_244664533_2_0_0__11999&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
89,منازل جدة للوحدات السكنية, Jeddah,SAR 123,4,Only 1 left like this on our site,1882046,7.8, 233 reviews ,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 9 taxes and charges  , Good ,Reservation possible without a credit card,null,39.2295945744522,21.5116243861948,https://www.booking.com/hotel/sa/manazil-jeddah-for-furnished-appartment.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=188204607_99847264_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=90&highlighted_blocks=188204607_99847264_2_2_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=188204607_99847264_2_2_0__12250&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
90,Al Reef Homes Hotel, Abha,SAR 125,4,Only 2 like this left on our site,3660087,7.8, 523 reviews ,Deluxe Studio,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 6 taxes and charges  , Good ,Reservation possible without a credit card,null,42.6027227908821,18.1875489964749,https://www.booking.com/hotel/sa/al-reef-homes.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=366008701_125021729_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=91&highlighted_blocks=366008701_125021729_2_0_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=366008701_125021729_2_0_0__12500&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
91,هوم للشقق الفندقيه, Ar Riyad,SAR 130,4,Only 5 like this left on our site,6402009,,null,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 2,null, includes taxes and charges ,null,null,null,46.8359567417602,24.7752773877168,https://www.booking.com/hotel/sa/hwm-llshqq-lfndqyh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=640200902_256707912_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=92&highlighted_blocks=640200902_256707912_2_0_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=640200902_256707912_2_0_0__13000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
92,Hotel nab'a Alsafa Almansour, Makkah,SAR 140,4,null,6224145,,null,Deluxe Double or Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 doubles)", +SAR 11 taxes and charges  ,null,null,Breakfast included,39.8071186984253,21.4261281074936,https://www.booking.com/hotel/sa/fndq-nb-lsf-lmnswr.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=622414501_242549440_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=93&highlighted_blocks=622414501_242549440_2_1_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=622414501_242549440_2_1_0__14000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
93,إطلالة الشرفه, Al ‘Aqrabīyah,SAR 140,4,Only 4 like this left on our site,6379329,,null,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 4,"3 beds
(1 extra-large double, 2 sofa beds)", +SAR 14 taxes and charges  ,null,null,null,50.188335,26.287908,https://www.booking.com/hotel/sa/tll-lshrfh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=637932901_251809905_4_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=94&highlighted_blocks=637932901_251809905_4_0_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=637932901_251809905_4_0_0__14000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
94,shams alshate شمس الشاطئ, Buraydah,SAR 140,4,Only 5 rooms like this left on our site,5762896,7.4, 34 reviews ,Deluxe Double Room (2 Adults + 1 Child),null,null,Max persons: 2,"1 bed
(1 large double)", includes taxes and charges , Good ,Reservation possible without a credit card,null,43.9265193425446,26.4091293779193,https://www.booking.com/hotel/sa/shams-alshate-shms-lshty.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=576289601_222539425_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=95&highlighted_blocks=576289601_222539425_2_0_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=576289601_222539425_2_0_0__13999&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
95,Jeddah Blue Plus Hotel," Al Hamra, Jeddah",SAR 149,4,Only 3 like this left on our site,5137410,7.2, 420 reviews ,Studio Apartment,null,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 11 taxes and charges  , Good ,Reservation possible without a credit card,null,39.1593226405449,21.5202021421921,https://www.booking.com/hotel/sa/fndq-jd-blw-bls.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=513741001_251406291_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=96&highlighted_blocks=513741001_251406291_2_0_0&hpos=21&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=513741001_251406291_2_0_0__14899&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
96,New Suite, Riyadh,SAR 149,4,Only 3 rooms like this left on our site,4669607,7.7, 62 reviews ,Deluxe Room (1 adult + 2 children),No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", includes taxes and charges , Good ,Reservation possible without a credit card,null,46.6694089141197,24.5512422718838,https://www.booking.com/hotel/sa/new-suite.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=466960703_144042336_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=97&highlighted_blocks=466960703_144042336_2_0_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=466960703_144042336_2_0_0__14900&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
97,Seher Aloyon Funished Apartments, Buraydah,SAR 150,0,Only 1 left like this on our site,2343311,8.8, 250 reviews ,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 5,"4 beds
(1 double, 3 sofa beds)", +SAR 0 taxes and charges  , Fabulous ,Reservation possible without a credit card,null,43.9330190978944,26.3991633774795,https://www.booking.com/hotel/sa/seher-aloyon-funished-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=234331102_195330920_5_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=98&highlighted_blocks=234331102_195330920_5_0_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=234331102_195330920_5_0_0__15000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
98,JEDDAH PALACE, Jeddah,SAR 150,4,null,5082119,7.3, 210 reviews ,Deluxe King Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 7 taxes and charges  , Good ,Reservation possible without a credit card,null,39.25855,21.485787,https://www.booking.com/hotel/sa/jeddah-palace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=508211907_200209978_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=99&highlighted_blocks=508211907_200209978_2_0_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=508211907_200209978_2_0_0__15000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
99,افــانــيـــن نــجــد, Riyadh,SAR 150,4,Only 3 like this left on our site,5478000,,null,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 3,"2 beds
(1 extra-large double, 1 sofa bed)", +SAR 8 taxes and charges  ,null,Reservation possible without a credit card,null,46.8774697125455,24.7823299816931,https://www.booking.com/hotel/sa/fnyn-njd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=547800001_212838522_3_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=100&highlighted_blocks=547800001_212838522_3_0_0&hpos=25&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=547800001_212838522_3_0_0__15000&srepoch=1587182862&srpvid=597e1d07181100a8&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
100,Reef Global Hotel, Makkah,SAR 150,4,null,439725,8, 808 reviews ,Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 15 taxes and charges  , Very good ,null,null,39.8605240881443,21.4449516813,https://www.booking.com/hotel/sa/boudl-makka.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=43972504_144725347_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=101&highlighted_blocks=43972504_144725347_0_2_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=43972504_144725347_0_2_0__15000&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
101,Golden Tulip Dammam Corniche Hotel, Dammam,SAR 159,4,Only 4 rooms like this left on our site,861672,7.5," 1,138 reviews ",Business King Room,No prepayment needed,FREE cancellation,Max persons: 2,null, +SAR 16 taxes and charges  , Good ,null,null,50.0964151474909,26.4577408806723,https://www.booking.com/hotel/sa/golden-tulip-dammam-corniche.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=86167235_246989390_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=102&highlighted_blocks=86167235_246989390_2_1_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=86167235_246989390_2_1_0__15900&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
102,Sofi Hotel, Dammam,SAR 159,4,Only 1 left like this on our site,768429,7.1, 860 reviews ,Double Studio,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 12 taxes and charges  , Good ,Reservation possible without a credit card,null,50.0634527206421,26.4637779482714,https://www.booking.com/hotel/sa/o3uuu-uuoauu.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=76842902_204808926_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=103&highlighted_blocks=76842902_204808926_0_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=76842902_204808926_0_0_0__15900&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
103,Odst Hotel Suites," Sari Street, Jeddah",SAR 168,4,Only 1 left like this on our site,3152804,7.2, 271 reviews ,Studio Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 13 taxes and charges  , Good ,Reservation possible without a credit card,null,39.1733672336045,21.5837204766313,https://www.booking.com/hotel/sa/wdst-lljnh-lfndqy-jd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=315280401_113840402_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=104&highlighted_blocks=315280401_113840402_2_0_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=315280401_113840402_2_0_0__16750&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
104,كلاس هوم," Hera Street, Jeddah",SAR 170,4,Only 3 like this left on our site,5950347,9.1, 42 reviews ,Deluxe Suite,No prepayment needed,FREE cancellation,Max persons: 2,null, +SAR 14 taxes and charges  , Superb ,null,null,39.1330333368683,21.6089450816652,https://www.booking.com/hotel/sa/kls-hwm.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=595034701_233486797_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=105&highlighted_blocks=595034701_233486797_2_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=595034701_233486797_2_0_0__17000&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
105,Retaj Al Rayyan Makkah, Makkah,SAR 171,4,null,1850476,7.9," 1,409 reviews ",Standard Twin Room,null,null,Max persons: 2,"2 beds
(2 singles)", +SAR 17 taxes and charges  , Good ,null,null,39.8513517715037,21.4313363490947,https://www.booking.com/hotel/sa/retaj-al-rayyan-makkah-makkah3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=185047601_137267773_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=106&highlighted_blocks=185047601_137267773_0_2_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=185047601_137267773_0_2_0__17100&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
106,امواج ينبع للوحدات السكنية, Yanbu,SAR 173,4,Only 1 left like this on our site,1615141,7.6, 856 reviews ,King Studio,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 13 taxes and charges  , Good ,Reservation possible without a credit card,null,38.0414915084839,24.091540982121,https://www.booking.com/hotel/sa/amwag-yenbea-residential-units.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=161514101_201708290_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=107&highlighted_blocks=161514101_201708290_2_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=161514101_201708290_2_0_0__17250&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
107,Golden Dune Hotel, Ţurayf,SAR 179,4,null,3598606,9.2," 1,125 reviews ",Small Double Room,null,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 14 taxes and charges  , Superb ,Reservation possible without a credit card,null,38.6596888770905,31.6723575545476,https://www.booking.com/hotel/sa/golden-dune-turaif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=359860616_247159084_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=108&highlighted_blocks=359860616_247159084_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=359860616_247159084_2_0_0__17910&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
108,Suite Inn Hotel Riyadh," Al Sulimania, Riyadh",SAR 182,4,Only 2 like this left on our site,1525301,8.4," 1,125 reviews ",Standard Apartment,null,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 18 taxes and charges  , Very good ,null,null,46.7110884189606,24.694056251084,https://www.booking.com/hotel/sa/suite-inn-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=152530121_249055197_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=109&highlighted_blocks=152530121_249055197_0_0_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=152530121_249055197_0_0_0__18182&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
109,Business Tower, Nimrān,SAR 183,4,null,5700500,8.1, 113 reviews ,Economy Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 extra-large doubles)", +SAR 18 taxes and charges  , Very good ,null,null,42.6152528723526,19.9975106886028,https://www.booking.com/hotel/sa/brj-l-ml.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=570050002_220049566_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=110&highlighted_blocks=570050002_220049566_2_0_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=570050002_220049566_2_0_0__18300&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
110,Sadeem Al Fajr Hotel Suites, Taif,SAR 199,4,Only 5 like this left on our site,876519,7.5, 632 reviews ,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 single)", +SAR 20 taxes and charges  , Good ,Reservation possible without a credit card,null,40.4161270111581,21.288304290128,https://www.booking.com/hotel/sa/sadeem-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=87651901_190353096_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=111&highlighted_blocks=87651901_190353096_0_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=87651901_190353096_0_0_0__19900&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
111,Naviti Warwick Dammam, Dammam,SAR 199,4,Only 3 rooms like this left on our site,4794664,8.5," 1,121 reviews ",Standard Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 15 taxes and charges  , Very good ,Reservation possible without a credit card,null,50.093667488729,26.4592418466342,https://www.booking.com/hotel/sa/naviti-warwick-dammam.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=479466401_237134159_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=112&highlighted_blocks=479466401_237134159_2_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=479466401_237134159_2_0_0__19900&srepoch=1587182871&srpvid=b7ae1d0bdd6f009f&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
